EAR,MAR,PUC,MOE,Label
0.2646193058358204,0.537553892158379,0.21128007023992412,0.18150237817378045,alert
0.10881946158576869,0.5715350552923593,0.14821321385897246,0.33029300888575297,alert
0.22397206188546798,0.42725707406302843,0.20935243885649066,0.13995539846990537,alert
0.46825701187268043,0.4357855890406637,0.35072089510415244,-0.03832111752701464,alert
0.6237448163554998,0.48776864510574375,0.46193835713314657,-0.12330163626158958,alert
0.743981473003015,0.5811187117828027,0.5669990060182661,-0.1539489176625111,alert
0.7995758524607408,0.3875548575059974,0.610123174162188,-0.3317597569791172,alert
0.8023590369330806,0.2880546125254883,0.6237382479374742,-0.405971244549966,alert
0.8673836238941601,-0.08265755907031497,0.6948608026493485,-0.7100684265140274,alert
0.9852405871490967,-0.3798636442831347,0.7794255951919832,-0.9988898854954764,alert
1.1891993359288722,-0.4778119117970827,0.9071707899351382,-1.2110418839644188,alert
1.2555353360200103,-0.5621861293637006,0.9773720319936205,-1.319931629166229,alert
1.3466022831405808,-0.6929756257492151,1.0287461497717336,-1.4763840305244484,alert
1.3947091765959547,-0.7183177244713752,1.0955271364691208,-1.531676647361792,alert
1.4295328135936585,-0.8104937640545518,1.154551152842008,-1.622385376146609,alert
1.5189515658905528,-0.9903304979784218,1.2566196965895604,-1.808545713328232,alert
1.4861296992872135,-1.3230559383475573,1.2712160823305665,-2.0161258847253483,alert
1.411863126840746,-1.518728180858842,1.2801182489847016,-2.1007448964539983,alert
1.3339395060565615,-1.5699478048630484,1.3305111799615865,-2.0823626130588067,alert
1.281531175816046,-1.827284272708294,1.3231536657239742,-2.224731988542945,alert
1.3547957040870724,-2.2008017532964756,1.3765863610758828,-2.528534305279577,alert
1.2960546942360445,-2.5439002649306715,1.232334441191706,-2.7264116554404687,alert
1.0990983463209325,-2.8897190790209826,1.11351737162453,-2.832171725120677,alert
1.0714981323643005,-3.259457792049723,1.0195422027613943,-3.0694159670700842,alert
0.9344635593644065,-3.6618702314003713,0.8358781590278939,-3.258058301393424,alert
0.8272334383157732,-4.074404959413697,0.7128303497527878,-3.474202090499667,alert
0.854978337860054,-4.394719696419908,0.6653382641900837,-3.7126952760896956,alert
0.7556069107276041,-4.820166016215253,0.5390572484333925,-3.944312859279364,alert
0.8512599926393818,-5.217043967805404,0.5616460128903967,-4.275530975168831,alert
0.7466123585153553,-5.71506501498553,0.4030151457186481,-4.556945622957591,alert
0.5212142614840889,-6.12496048517757,0.1776425554553435,-4.69880389956799,alert
0.4622474981103349,-6.571596080038346,0.11602384539925689,-4.973497641448648,alert
0.4775640780235272,-6.853016448781078,0.09300905240283207,-5.177599052633046,alert
0.3722085131343298,-7.134630979639551,0.06330294243086913,-5.307401699864857,alert
0.4276980358372999,-7.208428665272343,0.1356500480878556,-5.392464432709004,alert
0.4518844396442601,-7.324083621611447,0.19040271811849727,-5.487105127763023,alert
0.533092824348796,-7.682952556579791,0.25784276967671943,-5.7829150481252345,alert
0.5808784643637435,-7.971340974757842,0.29624632946100427,-6.011045957781666,alert
0.7061079547810969,-8.286588306297107,0.4104281299723086,-6.300234947617854,alert
0.9543669251220743,-8.279552638153678,0.5497437411328703,-6.4416425386616245,alert
1.1455884605800528,-8.30292413945722,0.5810557863665148,-6.570527673632288,alert
1.4158735125906792,-8.384254258922514,0.6823718695787188,-6.778895203054229,alert
1.5295526572342306,-8.489482497227177,0.715212094373356,-6.917728113513486,alert
1.5513611584353963,-8.58013440678558,0.7165603603125015,-6.994732289323837,alert
1.6902562696654526,-8.627472547367315,0.7735993929852467,-7.107955467853348,alert
1.7456630732427858,-8.865033292123986,0.8174536457211874,-7.301501943487148,alert
1.765483932713079,-8.908953670548158,0.8610174553325388,-7.345138627599333,alert
1.890644513967353,-8.845087132636992,0.9330143736761498,-7.376071750356608,alert
1.9425825004333666,-8.876362161832047,1.01915195755721,-7.428738210814268,alert
2.028100775052124,-8.9774660741876,1.1044625079357369,-7.5457808204480195,alert
2.0797806024493055,-8.983029082789168,1.143934784193809,-7.580710859270691,alert
2.1550339204910176,-8.899224822334494,1.198658338095224,-7.569487213462521,alert
2.257860303399292,-8.825205961761773,1.2878492798521972,-7.579928201454184,alert
2.3402376738749577,-8.768100592007668,1.3590840522651575,-7.589913710786798,alert
2.473189915276774,-8.89600666080809,1.3903047071511614,-7.747186794657059,alert
2.4240694288031794,-9.11564355223273,1.3900587330317573,-7.868702141363042,alert
2.5122632893458294,-9.165763978540511,1.5055234931070751,-7.951130910043098,alert
2.5816240916033926,-9.206052989492136,1.6126064890521976,-8.016847238821013,alert
